Id,Word,Pinyin,English,Book,Lesson,Dialog,NW,PN,OofC,Alternates,Grammar Reference,2019-06-16,Song Lyrics,Song YouTube,Song Pinyin,Song Translation,Example Pinyin,Example,Translation,Instagram Image Created
166,大学,dàxué,university,1,15,1,3,,,,,,,,,,1980 nián gāokǎo hòu tā jìn le Běijīng Dàxué,1980年高考后，他进了北京大学。,"After the college entrance examination in 1980, he enrolled himself in Beijing University.",
167,饭店,fàndiàn,hotel,1,15,2,4,,,,,,,,,,fàndiàn miànlín dàhǎi,饭店面临大海。,The hotel fronts the sea.,
168,出租车,chūzūchē,taxi,1,15,2,5,,,,,,,,,,chūzūchē dào guójìmàoyì dàshà,出租车！到国际贸易大厦。,"Taxi! International Trade Tower, please.",
169,一起,yīqǐ,together,1,15,2,6,,HSK 2,,,,,,,,,,,
170,高兴,gāoxìng,happy,1,15,3,7,,,,,,,,,,wǒ hěn gāoxìng yǒu jīhuì dào nǐ jiào cānguān,我很高兴有机会到你校参观。,I'm very happy to have a chance to visit your school.,
171,听,tīng,to listen,1,15,3,8,,,,,,,,,,qǐng dàjiā zǐxì dì tīng,请大家仔细地听。,Now listen carefully everybody.,
172,飞机,fēijī,airplane,1,15,3,9,,,,,,,,,,qǐng liúyì fēijī qǐfēi shíjiān,请留意飞机起飞时间。,Please keep an eye on the departure time.,Yes
173,一,yī ,one,1,补充,,,,,,,,,,,,zhè zhēnshi yī gè qíjì,这真是一个奇迹！,What a miracle!,
174,九,jiǔ ,nine,1,补充,,,,,,,,,,,,jiǔ jiǎn liù děngyú sān,九减六等于三。,"If you subtract 6 from 9, you will have 3.",
175,八,bā ,eight,1,补充,,,,,,,,,,,,èr chú bā dé sì,二除八得四。,Eight divided by two is four; 2 goes into 8 four times.,
176,四,sì ,four,1,补充,,,,,,,,,,,,èr chú bā dé sì,二除八得四。,Eight divided by two is four; 2 goes into 8 four times.,
177,二,èr ,two,1,补充,,,,,,,,,,,,èr chú bā dé sì,二除八得四。,Eight divided by two is four; 2 goes into 8 four times.,
178,七,qī ,seven,1,补充,,,,,,,,,,,,qī jiǎn sān dé sì,七减三得四。,Subtract 3 from 7 and you have 4.,
179,十,shí ,ten,1,补充,,,,,,,,,,,,shíjìnwèifǎ,十进位法。,"The decimal scale counts by tens, as in cents, dimes(=ten cents), dollars.",
180,六,liù ,six,1,补充,,,,,,,,,,,,liù qìgāng yǐnqíng,六汽缸引擎,a six-cylinder engine,
181,三,sān ,three,1,补充,,,,,,,,,,,,sān dǎng liánhé,三党联合,a three-party coalition,
182,五,wǔ ,five,1,补充,,,,,,,,,,,,wǔ wèi shǔ,五位数,a five digit number,
183,旅游,lǚyóu,"to travel, to take a trip",2,1,1,1,,,,,,,,,,wǒ yào qù Běijīng lǚyóu,我要去北京旅游。,I'm going to Beijing for a tour.,
184,觉得,juéde,"to think, to feel",2,1,1,2,,,,,,,,,,wǒ juéde yǒuyǎngyùndòng hěn róngyì,我觉得有氧运动很容易。,I think aerobics is easy.,
185,最,zuì,most,2,1,1,3,,,,2.1.2,,,,,,nǐ juéde shénmeshíhou qù zuìhǎo,你觉得什么时候去最好？,When do you think is the best time to go?,
186,为什么,wèishénme,why,2,1,1,4,,,,,,,,,,nǐ wèishénme xǐhuan xué Yīngyǔ,你为什么喜欢学英语？,Why do you like to study English?,
187,也,yě,also,2,1,1,5,,,,,,,,,,tiānqì bù lěng yě bù rè,天气不冷也不热。,It's neither cold nor hot.,
188,运动,yùndòng,"sport, physical exercise",2,1,2,6,,,,,,,,,,nǐ xǐhuan shénme yùndòng,你喜欢什么运动？,What's your favorite sport?,
189,踢足球,tī zúqiú,to play football,2,1,2,7,,,,,,,,,,wǒ zuì xǐhuan tī zúqiú,我最喜欢踢足球。,I like playing football best.,
190,一起,yīqǐ,together,2,1,2,8,,,,,,,,,,wǒmen yīqǐ qù tī zúqiú ba,我们一起去踢足球吧。,Let's play football together.,
191,要,yào,"to want to, would like to",2,1,3,9,,,,2.1.1,,,,,,wǒ yào jǐnkuài dédào zhè fèn shūmiàn xiéyì,我要尽快得到这份书面协议。,I want this agreement in black and white as soon as possible.,
192,新,xīn,new,2,1,3,10,,,,,,,,,,wǒ yào mǎi jǐge xīn de yǐzi,我要买几个新的椅子。,I want to buy some new chairs.,
193,它,tā,it,2,1,4,11,,,,,,,,,,tā hěn piàoliang,它很漂亮。,It's beautiful.,
194,眼睛,yǎnjing,eye,2,1,4,12,,,,,,我祈祷拥有一颗透明的心灵 和会流泪的眼睛,https://youtu.be/KAG-oMF0mA8?t=51,,,dé tā de yǎnjing zuì piàoliang,得它的眼睛最漂亮。,It has the most beautiful eyes.,
195,花花,huā huā,name of a cat,2,1,4,,1,,,,,,,,,wǒ de māo jiào huā huā,我的猫叫花花。,My cat is called Huahua.,
196,生病,shēngbìng,to get sick,2,2,1,1,,,,,,,,,,nǐ hěn shǎo shēngbìng,你很少生病。,You seldom get sick.,
197,每,měi,every,2,2,1,2,,,,2.2.2,,,,,,jiǔ jīhū yǐngxiǎng shēntǐ nèi měiyī xìtǒng,酒几乎影响身体内每一系统。,Alcohol affects nearly every system in the body.,
198,早上,zǎoshang,morning,2,2,1,3,,,,,,,,,,wǒ jīntiān zǎoshang gǎnjué bùshūfu,我今天早上感觉不舒服。,I'm feeling rotten this morning.,
199,跑步,pǎobù,"to run, to jog",2,2,1,4,,,,,,,,,,wǒ měitiān zǎoshang dōu yào chūqù pǎobù,我每天早上都要出去跑步。,I go out for a run every morning.,
200,起床,qǐchuáng,to get up (from bed),2,2,1,5,,,,,,,,,,nǐ měitiān jǐdiǎn qǐchuáng,你每天几点起床？,What time do you get up every day?,
201,药,yào,medicine,2,2,2,6,,,,,,,,,,chīyào le ma,吃药了吗？,Did you take medicine?,
202,身体,shēntǐ,body,2,2,2,7,,,,,,,,,,xiànzài shēntǐ zěnmeyàng,现在身体怎么样？,Pink is her favorite color.,Yes
203,出院,chūyuàn,to leave hospital,2,2,2,8,,,,,,,,,,shénmeshíhou néng chūyuàn,什么时候能出院？,When can I be discharged from hospital?,
204,出,chū,to come/go out,2,2,2,,,,,,,,,,,wǒ yào chūqù yīhuìr,我要出去一会儿。,I' ll have to step out for a while.,
205,高,gāo,"tall, high",2,2,3,9,,,,,,,,,,tā duō gāo,他多高？,It's cheaper than yesterday.,Yes
206,米,mǐ,meter,2,2,3,10,,HSK 3,,,,,,,,,,,
207,知道,zhīdào,to know,2,2,3,11,,,,,,,,,,nǐ zěnme zhīdào,你怎么知道？,How did you know?,
208,休息,xiūxi,to have or take a rest,2,2,4,12,,,,,,,,,,zhāng lǎoshī Xīngqīliù yě bù xiūxi ā,张老师星期六也不休息啊？,Mr. Zhang doesn't rest even on Saturdays?,Yes
209,忙,máng,busy,2,2,4,13,,,,,,,,,,tā zhèjǐtiān hěn máng,他这几天很忙。,He is very busy these days.,Yes
210,时间,shíjiān,time,2,2,4,14,,,,,,,,,,tā méiyǒu shíjiān xiūxi,他没有时间休息。,He has no time to rest.,
211,手表,shǒubiǎo,watch,2,3,1,1,,,,,,,,,,zhè kuài shǒubiǎo shì nǐ de ma,这块手表是你的吗？,Is this watch yours?,
212,千,qiān,thousand,2,3,1,2,,,,,,,,,,yīgòng sān qiān kuài,一共三千块。,It's three thousand yuan altogether.,
213,报纸,bàozhǐ,newspaper,2,3,2,3,,,,,,,,,,zhè shì jīntiān zǎoshang de bàozhǐ ma,这是今天早上的报纸吗？,Is it this morning’s newspaper?,
214,送,sòng,"to send, to deliver",2,3,2,4,,,,,,,,,,sòng bàozhǐ de lái le,送报纸的来了。,Here comes the newspaper deliverer.,
215,一下,yīxià,"once, short action",2,3,2,5,,,,2.3.2,,,,,,kàn yīxià,看一下。,Look at it.,
216,牛奶,niúnǎi,milk,2,3,2,6,,,,,,,,,,shì sòng niúnǎi de,是送牛奶的。,It's a milkman.,
217,房间,fángjiān,room,2,3,3,7,,,,,,爱还留在我房间,https://youtu.be/TCHIjWQQpc0?t=100,ài hái liú zài wǒ fángjiān ,Love is still in my room,zhè shì shéi de fángjiān,这是谁的房间？,Whose room is this?,
218,丈夫,zhàngfu,husband,2,3,3,8,,,,,,,,,,zhè shì wǒ hé wǒ zhàngfu,这是我和我丈夫。,This is me and my husband.,
219,旁边,pángbiān,beside,2,3,3,9,,,,,,,,,,pángbiān de fángjiān shì wǒ nǚ'ér de,旁边的房间是我女儿的。,The next room is my daughter's.,
220,真,zhēn,"really, indeed",2,3,3,10,,,,2.3.3,,,,,,nǐ nǚ'ér de fángjiān zhēn piàoliang,你女儿的房间真漂亮！,Your daughter's room is beautiful!,
221,粉色,fěnsè,pink,2,3,3,11,,HSK 6,,,,,,,,,,,
222,颜色,yánsè,color,2,3,3,12,,,,,,,,,,fěnsè shì tā zuì xǐhuan de yánsè,粉色是她最喜欢的颜色。,Let's play football together.,Yes
223,粉,fěn,pink,2,3,3,,,HSK 6,,,,,,,,,,,
224,左边,zuǒbian,left side,2,3,4,13,,,,,,,,,,fángzi de zuǒbian yǒu yī kē yīngtáo shù,房子的左边有一棵樱桃树。,There is a cherry tree on the left side of the house.,
225,红色,hóngsè,red,2,3,4,14,,,,,,,,,,zuǒbian nàge hóngsè de shì wǒ de,左边那个红色的是我的。,The red one on the left is mine.,
226,红,hóng,red,2,3,4,,,,,,,,,,,hóng pútao de sèsù cúnzài yú guǒpí zhōng,红葡萄的色素存在于果皮中。,The color of red grapes is in the skin.,
227,生日,shēngrì,birthday,2,4,1,1,,,,,,,,,,wǒ shōu dàoliǎo tā shēngrì yànhuì de qǐngtiě,我收到了她生日宴会的请帖。,I received an invitation to her birthday party.,
228,快乐,kuàilè,"happy, glad",2,4,1,2,,,,,,,,,,yīqǐ dùguò yī gè kuàilè de zhōumò,一起渡过一个快乐的周末,spend the weekend having a good time together,
229,给,gěi,"(used after a verb) to, for",2,4,1,3,,,,,,,,,,zhè shì sònggěi nǐ de,这是送给你的！,This is for you!,
230,接,jiē,to pick up (a person),2,4,1,3,,HSK 3,,,,,,,,,,,
231,晚上,wǎnshang,"evening, night",2,4,2,4,,,,,,,,,,nǐ jīntiān wǎnshang yǒukòng ma,你今天晚上有空吗？,Are you free this evening?,
232,问,wèn,to ask,2,4,2,5,,,,,,,,,,wǎnshang wǒ wèn yīxià érzi,晚上我问一下儿子。,I’ll ask [my] son [this] evening.,
233,非常,fēicháng,"very, extremely",2,4,3,6,,,,,,,,,,wǒ fēicháng xǐhuan tī zúqiú,我非常喜欢踢足球。,I like playing football very much.,
234,开始,kāishǐ,"to begin, to start",2,4,3,7,,,,,,,,,,nǐ shì shénmeshíhou kāishǐ tī zúqiú de,你是什么时候开始踢足球的？,When did you start playing football?,
235,已经,yǐjīng,already,2,4,3,8,,,,2.4.3,,,,,,wǒ yǐjīng tī le shí nián( zúqiú) le,我已经踢了十年(足球)了。,I have been playing (football) for ten years.,
236,长,cháng,long,2,4,4,9,,,,,,,,,,nǐ zài zhèr gōngzuò duō cháng shíjiān le,你在这儿工作多长时间了？,How long have you worked here?,
237,两,liǎng,two,2,4,4,10,,,,,,,,,,yǐjīng liǎng nián duō le,已经两年多了,It's been more than two years.,
238,帮,bāng,"to help, to assist",2,4,4,11,,,,,,,,,,qǐng bāng wǒ fēnfā zhèxiē shìjuàn,请帮我分发这些试卷。,Please help me give out these test papers.,
239,介绍,jièshào,"to introduce, to recommend",2,4,4,12,,,,,,,,,,zhège gōngzuò shì tā bāng wǒ jièshào de,这个工作是他帮我介绍的。,He introduced this job to me.,
240,外面,wàimiàn,outside,2,5,1,1,,,,,,,,,,wǒ bùxiǎng qù wàimiàn chī,我不想去外面吃。,I don't want to eat out.,
241,准备,zhǔnbèi,"to intend, to plan",2,5,1,2,,,,,,,,,,nà nǐ zhǔnbèi zuò shénme ne,那你准备做什么呢？,So what are you going to do?,
242,就,jiù,just,2,5,1,3,,,,2.5.1,,,,,,rúguǒ nǐ xiǎng dāng lǜshī jiù dé nǔlì xuéxí,如果你想当律师，就得努力学习。,You must study hard if you intend to follow the law.,
243,鱼,yú,fish,2,5,1,4,,,,,,,,,,wǒmen zài wēibōlú zhōng zhǔ yú,我们在微波炉中煮鱼。,We cooked the fish in the microwave oven.,
244,吧,ba,"particle for suggestion, request or command",2,5,1,5,,,,,,,,,,jiù zuò nǐ ài chī de yú ba,就做你爱吃的鱼吧。,"[Let’s] just make fish, [which is] your favorite.",
245,件,jiàn,measure word. piece (of clothing),2,5,2,6,,,,,,,,,,bāng wǒ kàn yīxià zhè jiàn yīfu zěnmeyàng,帮我看一下这件衣服怎么样。,Let me see how this dress looks.,
246,还,hái,"passibly, fairly, rather",2,5,2,7,,,,2.5.2,,回忆还很新鲜,https://youtu.be/TCHIjWQQpc0?t=107,huíyì hái hěn xīnxiān ,Memories are fresh,èn kuǎnshì hái kěyǐ,嗯，款式还可以。,"Well, the style is OK,",
247,可以,kěyǐ,not bad,2,5,2,8,,,,,,,,,,yánsè hái kěyǐ jiùshì yǒudiǎnr dà,颜色还可以，就是有点儿大。,"The color is OK, but it's a little big.",
248,不错,bùcuò,not bad,2,5,2,9,,,,,,,,,,zhè jiàn bùcuò jiù mǎi zhè jiàn ba,这件不错，就买这件吧。,This one is good. Just buy this one.,
249,考试,kǎoshì,test exam,2,5,3,10,,,,,,,,,,nǐ zài xiǎng zuótiān de kǎoshì ma,你在想昨天的考试吗？,Are you thinking about yesterday's exam?,
250,意思,yìsi,meaning,2,5,3,11,,,,,,,,,,hěn duō zì wǒ dōu bù zhīdào shì shénme yìsi,很多字我都不知道是什么意思。,I don't know what a lot of the words mean.,
251,咖啡,kāfēi,coffee,2,5,4,12,,,,,,,,,,hē kāfēi ma,喝咖啡吗？,Would you like to have [some] coffee?,Yes
252,对,duì,"to, for, toward",2,5,4,13,,,,2.10.2,,,,,,kāfēi hē duō le duì shēntǐ bùhǎo,咖啡喝多了对身体不好。,Drinking too much coffee is bad for your health.,
253,以后,yǐhòu,"after, afterwards, later",2,5,4,14,,,,,,,,,,yǐhòu wǒ shǎo hē yīdiǎnr,以后我少喝一点儿。,I'll drink less later.,
254,门,mén,"door, gate",2,6,1,1,,,,,,,,,,sū qǐng guānshàng mén,苏，请关上门。,"Sue, shut the door, please.",
255,外,wài,"outer, outside",2,6,1,2,,,,,,,,,,yī zhǐ lǎohǔ máifú zài cūn wài de cónglín zhōng,一只老虎埋伏在村外的丛林中。,A tiger was lurking in the jungle outside the village.,
256,自行车,zìxíngchē,bicycle,2,6,1,3,,HSK 3,,,,,,,,,,,
257,羊肉,yángròu,mutton,2,6,2,4,,,,,,,,,,hóngshāo yángròu,红烧羊肉,Braised mutton,
258,好吃,hǎochī,"delicious, yummy",2,6,2,5,,,,,,,,,,jīntiān de yángròu hěn hǎochī,今天的羊肉很好吃,Mutton is delicious today.,
259,面条,miàntiáo,noodles,2,6,2,6,,,,,,,,,,lái yīdiǎnr miàntiáo ba,来一点儿面条吧。,Let's have some noodles.,
260,打篮球,dǎ lánqiú,to play baske tball,2,6,3,7,,,,,,,,,,zuótiān nǐmen zěnme dōu méi qù dǎ lánqiú,昨天你们怎么都没去打篮球？,How tall is he?,Yes
261,因为,yīnwèi,"beca use, since",2,6,3,8,,,,2.6.3,,,,,,tā chí dàoliǎo yīnwèi tā jīnwǎn jiābān,他迟到了因为他今晚加班。,He's late because he's on overtime tonight.,
262,所以,suǒyǐ,"so, therefore",2,6,3,9,,,,,,,,,,yīnwèi zuótiān xiàyǔ suǒyǐ wǒmen dōu méi qù,因为昨天下雨，所以我们都没去。,We didn't go because it rained yesterday.,
263,游泳,yóuyǒng,to swim,2,6,3,10,,,,,,,,,,wǒ qù yóuyǒng le,我去游泳了。,I went swimming.,
264,经常,jīngcháng ,often,2,6,3,11,,HSK 3,,,,,,,,,,,
265,公斤,gōngjīn ,kilogram,2,6,3,12,,HSK 3,,,,,,,,,,,
266,姐姐,jiějie,elder sister,2,6,4,13,,,,,,,,,,tīngshuō shì qù kàn tā jiějie,听说是去看他姐姐。,I heard it was to see his sister.,Yes
267,教室,jiàoshì,classroom,2,7,1,1,,,,,,,,,,tā hái zài jiàoshì xuéxí ne,他还在教室学习呢。,He is still studying in the classroom.,
268,机场,jīchǎng,airport,2,7,2,2,,,,,,,,,,tā péitóng wǒmen qù jīchǎng le,他陪同我们去机场了。,He went with us to the airport for company.,
269,路,lù,"road, path, way",2,7,2,3,,,,,,,,,,wǒ zài qù jīchǎng de lùshang,我在去机场的路上。,I'm on my way to the airport.,
270,离,lí,to be away from,2,7,3,4,,,,2.7.3,,,,,,bówùguǎn lí wǒmen xuéxiào bù yuǎn,博物馆离我们学校不远。,The museum is only a short step away from our school.,
271,公司,gōngsī,"company, frrm",2,7,3,5,,,,,,,,,,tā de gōngsī hé wǒ de gōngsī hébìng,他的公司和我的公司合并。,His company incorporated with mine.,
272,远,yuǎn,"far, distant",2,7,3,6,,,,,,而你身影越来越远,https://youtu.be/TCHIjWQQpc0?t=94,ér nǐ shēnyǐng yuèláiyuè yuǎn ,And you are farther and farther away.,nǐ jiā lí gōngsī yuǎn ma,你家离公司远吗？,Is your home far from the company?,
273,公共汽车,gōnggòngqìchē,bus,2,7,3,7,,,,,,,,,,jǐ shàng yōngjǐ de gōnggòngqìchē,挤上拥挤的公共汽车,squash into a crowded bus,
274,小时,xiǎoshí,hour,2,7,3,8,,,,,,,,,,zuò gōnggòngqìchē yào yī gè duō xiǎoshí ne,坐公共汽车要一个多小时呢！,It takes more than an hour by bus.,
275,慢,màn,slow,2,7,3,9,,,,,,,,,,zuò gōnggòngqìchē tài màn le,坐公共汽车太慢了。,It's too slow to take a bus.,
276,快,kuài,"quick, fast",2,7,3,10,,,,,,,,,,kāichē yě bùkuài lùshang chē tài duō le,开车也不快，路上车太多了！,"You can't drive fast, there are too many cars on the road!",
277,过,guò,to pass (time),2,7,4,11,,Outside HSK,,,,,,,,,,,
278,走,zǒu,to walk,2,7,4,12,,,,,,,,,,yīng'ér xuéhuì zǒu zhīqián xiān xuéhuì pá,婴儿学会走之前先学会爬。,A baby learns to creep before it learns to walk.,
279,到,dào,"to arr ive, to rea ch",2,7,4,13,,,,,,什么事都难不倒 一直到老,https://youtu.be/Kl5QgrpXrzA?t=97,,,zǒu jǐ fēnzhōng jiù dàoliǎo,走几分钟就到了。,It's only a few minutes’ walk.,
280,再,zài,"again, once more, reattempt to",2,8,1,1,,,,2.8.2,,,,,,jīntiān xiàwǔ wǒ méiyǒu shíjiān míngtiān xiàwǔ zài qù ba,今天下午我没有时间，明天下午再去吧。,I don't have time this afternoon. Let's go tomorrow afternoon.,
281,让,ràng,"to let, to allow",2,8,1,2,,,,2.8.3,,,,,,ràng wǒ xiǎng xiǎng,让我想想。,Let me think.,
282,告诉,gàosu,to tell,2,8,1,3,,,,,,,,,,ràng wǒ xiǎng xiǎng zài gàosu nǐ,让我想想再告诉你。,Thank you for your help this year!,Yes
283,等,děng,to wait for,2,8,2,4,,,,,,,,,,nǐ děngděng wǒ,你等等我！,Wait for me!,
284,找,zhǎo,to look for,2,8,2,5,,,,,,,,,,tā dào nánfāng lái zhǎo gōngzuò,他到南方来找工作。,He came to the South to look for a job.,
285,事情,shìqing,"thing, matter, affair",2,8,2,6,,,,,,说来 这个事情也奇怪,https://youtu.be/jUb1XQzNiCI?t=71,,,zhǎo Dàwèi yǒu shénme shìqing ma,找大卫有什么事情吗？,What's the matter with David?,
286,服务员,fúwùyuán,"attendant, waiter/waitress",2,8,3,7,,,,,,,,,,fúwùyuán wǒ fángjiān de mén dǎ bù kāi le,服务员，我房间的门打不开了。,"Waiter, the door of my room won't open.",
287,白,bái,white,2,8,4,8,,,,,,,,,,zhè jiàn bái de yǒudiǎnr cháng,这件白的有点儿长。,This white one is a bit long.,
288,黑,hēi,black,2,8,4,9,,,,,,,,,,tā dǎ zhe hēi lǐngjié,他打着黑领结。,He was wearing a black tie.,
289,贵,guì,expensive,2,8,4,10,,,,,,,,,,nà jiàn hēi de yǒudiǎnr guì,那件黑的有点儿贵。,That black one is a bit expensive.,
290,错,cuò,"wrong, mcorrect",2,9,1,1,,,,,,,,,,nǐ dǎcuò le,你打错了。,You dialed the wrong number.,Yes
291,从,cóng,from,2,9,2,2,,,,,,,,,,zhīshi kě cóng xuéxí zhōng huòdé,知识可从学习中获得。,Knowledge may be obtained through study.,
292,跳舞,tiàowǔ,to dance,2,9,2,3,,,,,,,,,,nín cóng jǐsuì kāishǐ xuéxí tiàowǔ,您从几岁开始学习跳舞？,How old were you when you started to learn how to dance?,
293,第一,dìyī,first,2,9,2,4,,,,2.9.3,,,,,,wǒ dìyīcì tiàowǔ shì zài qī suì de shíhou,我第一次跳舞是在七岁的时候。,The first time I danced was when I was seven years old.,
294,希望,xīwàng,"to hope , to wish",2,9,2,5,,,,,,,,,,wǒ xīwàng tā néng gēn nín xué tiàowǔ,我希望她能跟您学跳舞。,I hope she can learn to dance with you.,Yes
295,问题,wèntí,"question, problem",2,9,2,6,,,,,,,,,,méiwèntí,没问题。,That's all right.,
296,欢迎,huānyíng,to welcome,2,9,2,7,,HSK 3,,,,,,,,,,,
